hotel_name,overall_rating,total_review,location,cleanliness_rating,service_rating,amenities_rating,facilities_rating,total_photo,room_rating,room_size,number_of_amenities,price
Mersin HiltonSA,4.2/5,535 reviews,"Palmiye Mah. 1225 Sok. No:1, Mersin, Mersin",4.3/5,4.3/5,4.1/5,4.0/5,154+,4.1/5 guest room rating,237 sq ft,14.0,$72
Hampton by Hilton Bursa,4.4/5,564 reviews,"Istanbul Caddesi No:349, Bursa, Bursa",4.5/5,4.3/5,4.4/5,4.4/5,50+,4.5/5 guest room rating,258 sq ft,10.0,$53
The Land of Legends Kingdom Hotel,4.5/5,152 reviews,"Kadriye Mah Ataturk Cad, No 515/1, Belek, Antalya",4.5/5,4.4/5,4.5/5,4.6/5,157+,4.7/5 guest room rating,409 sq ft,15.0,$313
GLK PREMIER Regency Suites & Spa,4.5/5,991 reviews,"Akbiyik Cad No 46, Istanbul, Istanbul, Istanbul",4.6/5,4.7/5,4.4/5,4.4/5,44+,4.7/5 guest room rating,215 sq ft,13.0,$94
El Vino Hotel Suites - Special Class,4.8/5,190 reviews,"Omurça Mah. Pamili Sokak, Mugla, Mugla",4.8/5,4.8/5,4.4/5,4.7/5,75+,5/5 guest room rating,291 sq ft,12.0,$88
Park Inn by Radisson Istanbul Airport Odayeri Hotel,4.1/5,218 reviews,"Selcuk Bey Sokak No. 27, Odayeri, Eyup, Istanbul",4.5/5,4.2/5,4.1/5,4.4/5,51+,5/5 guest room rating,280 sq ft,14.0,$134
World Heritage Hotel Istanbul,4.7/5,300 reviews,"Binbirdirek Mh , Terzihane Sk No 17, Istanbul, Istanbul",4.7/5,4.9/5,4.2/5,4.5/5,54+,,236 sq ft,7.0,$47
Hilton Bursa Convention Center & Spa,4.6/5,491 reviews,"Istanbul Caddesi No:347, Bursa",4.6/5,4.5/5,4.7/5,4.6/5,79+,4.8/5 guest room rating,323 sq ft,17.0,$68
Atlantis Royal Hotel,3.8/5,52 reviews,"Binbirdirek Mah. Dizdariye Cesmesi Sok., No 53 Istanbul Fatih, Istanbul",4.3/5,4.1/5,3.8/5,3.9/5,41+,,97 sq ft,4.0,$23
Niles Hotel Istanbul - Special Class,4.5/5,993 reviews,"Ordu Caddesi Dibekli Cami Sokak No: 13, Beyazit, Istanbul, Istanbul",4.6/5,4.8/5,4.4/5,4.4/5,55+,4.6/5 guest room rating,161 sq ft,11.0,$62
Sultanhan Hotel - Special Class,4.4/5,998 reviews,"Piyer Loti Cad No:7, Istanbul, Istanbul",4.5/5,4.6/5,4.2/5,4.3/5,114+,4.7/5 guest room rating,323 sq ft,12.0,$98
GLK PREMIER Sea Mansion Suites & Spa,4.6/5,367 reviews,"Kucukayasofya Mh Mustafapasa Sk No 9, Istanbul, Istanbul",4.7/5,4.8/5,4.4/5,4.6/5,104+,5/5 guest room rating,237 sq ft,12.0,$69
Basileus Hotel,4.6/5,699 reviews,"Kucuk Ayasofya Mah. Sehit Mehmet Pasa, Sk. No: 1, Istanbul, Istanbul",4.6/5,4.8/5,4.4/5,4.3/5,47+,4.7/5 guest room rating,258 sq ft,6.0,$16
GLK PREMIER The Home Suites & Spa,4.2/5,"1,000 reviews","Kucukayasofya Cad No:60, Istanbul, Istanbul, Istanbul",4.3/5,4.5/5,4.1/5,4.0/5,40+,4/5 guest room rating,194 sq ft,12.0,$67
Tav Airport Hotel Izmir,4.4/5,632 reviews,"Adnan Menderes Airport Int. Terminal, Gaziemir, Izmir, Izmir",4.6/5,4.4/5,4.3/5,4.5/5,41+,4.5/5 guest room rating,183 sq ft,9.0,$49
ISG Airport Hotel - Special Class,4.3/5,"1,427 reviews","Istanbul Sabiha Gokcen Int'l Airport, Pendik, Istanbul, Istanbul",4.5/5,4.4/5,4.3/5,4.4/5,62+,4.8/5 guest room rating,280 sq ft,13.0,$76
Blue House Hotel,4.4/5,119 reviews,"Dalbasti Sokak No 14, Istanbul, Istanbul",4.6/5,4.6/5,4.7/5,4.3/5,122+,5/5 guest room rating,194 sq ft,7.0,$51
YOTEL Istanbul Airport LANDSIDE,4.2/5,397 reviews,"Tayakadin Mah. Terminal Cad. No.: 1, Arnavutkoy, Istanbul",4.5/5,4.3/5,4.2/5,4.3/5,35+,4.3/5 guest room rating,140 sq ft,8.0,$140
Celsus Boutique Hotel,4.9/5,79 reviews,"atatürk mahallesi 1051 sokak no 2, Izmir",5.0/5,4.9/5,4.9/5,4.9/5,84+,5/5 guest room rating,215 sq ft,10.0,$81
Haydarpasha Palace,4.3/5,206 reviews,"Turkler Mevkii Konakli, Alanya, Antalya",4.3/5,4.0/5,4.4/5,4.5/5,57+,3.7/5 guest room rating,215 sq ft,19.0,$139
Dersaadet Hotel - Special Class,4.7/5,775 reviews,"Kucukayasofya Cad Kapiagasi Sok No 5, Istanbul, Istanbul, Istanbul",4.7/5,4.9/5,4.6/5,4.5/5,59+,4.7/5 guest room rating,172 sq ft,10.0,$62
Hotel Empress Zoe,4.8/5,99 reviews,"Cankurtaran Mah. Akbiyik Cad. No 10, Istanbul Fatih, Istanbul",4.7/5,4.9/5,4.6/5,4.7/5,84+,5/5 guest room rating,129 sq ft,6.0,$58
Innova Istanbul Istanbul,4.3/5,348 reviews,"Piyer Loti Cad No. 6-8 Istanbul, Istanbul, Istanbul",4.5/5,4.3/5,4.0/5,4.4/5,51+,4.3/5 guest room rating,161 sq ft,14.0,$61
Prime Hotel,4.6/5,126 reviews,"Genclik Mah. Tevfik Isik Cad. No: 25, Antalya, Antalya",4.7/5,4.6/5,4.6/5,4.6/5,59+,4.8/5 guest room rating,279 sq ft,15.0,$75
Premist Hotels Istanbul,4.3/5,275 reviews,"Cankurtaran Mah. Ishakpasa Sok. No.12, Istanbul, Istanbul, Istanbul",4.4/5,4.5/5,3.9/5,4.2/5,72+,3.6/5 guest room rating,161 sq ft,8.0,$35
Hotel Amira Istanbul,4.8/5,995 reviews,"Kucuk Ayasofya Mahallesi Mustafa, Pasa Sokak No: 79 Sultahnamet, Istanbul, Istanbul",4.8/5,4.9/5,4.7/5,4.7/5,61+,4.7/5 guest room rating,269 sq ft,13.0,$87
Antis Hotel - Special Class,3.7/5,402 reviews,"Istanbul Mah Akbiyik Degirmeni, Degirmeni Sok No:98, Istanbul, Istanbul",4.0/5,4.0/5,3.6/5,3.8/5,49+,,237 sq ft,9.0,$43
GLK PREMIER Acropol Suites & Spa,4.4/5,995 reviews,"Akbiyik cad. No:21, Istanbul, Istanbul, Istanbul",4.5/5,4.6/5,4.3/5,4.3/5,57+,4.6/5 guest room rating,215 sq ft,12.0,$91
Swissotel Resort Mugla Beach,4.5/5,81 reviews,"Turgutreis Mahallesi, Gazi Mustafa Kemal Bulvarı No:42, Mugla, Mugla",4.7/5,4.6/5,4.6/5,4.6/5,91+,4.6/5 guest room rating,431 sq ft,13.0,$176
The Mugla EDITION,4.7/5,46 reviews,"Dirmil Mahallesi, Balyek Cd. No 5A, Mugla, Mugla",4.8/5,4.6/5,4.4/5,4.8/5,57+,4.7/5 guest room rating,452 sq ft,17.0,$291
Arden City Hotel - Special Class,4.1/5,990 reviews,"Alemdar Mah Kazm Ismail Gürkan Cad No2, Istanbul, Istanbul",4.1/5,4.4/5,3.8/5,3.9/5,52+,4.2/5 guest room rating,182 sq ft,10.0,$77
Kordon Hotel Cankaya,4.1/5,444 reviews,"Gazi Osman Paşa Bulvarı No. 13, Çankaya, Izmir",4.3/5,4.1/5,3.9/5,4.2/5,55+,4.8/5 guest room rating,248 sq ft,13.0,$58
White House Hotel Istanbul,4.8/5,587 reviews,"Alemdar Mah Catalcesme Sok No:21, Istanbul, Istanbul, Istanbul",4.9/5,4.9/5,4.7/5,4.8/5,36+,4.8/5 guest room rating,172 sq ft,9.0,$93
Antusa Palace Hotel & Spa,4.5/5,273 reviews,"Alemdar Mah. Dr.Emin Paşa Sokak No:7, Istanbul, Fatih, Istanbul, Istanbul",4.5/5,4.7/5,4.4/5,4.4/5,45+,4.3/5 guest room rating,161 sq ft,11.0,$56
Lapis Inn Hotel & Spa ( Ex. Ambassador Hotel ),4.2/5,998 reviews,"Ticarethane Cikmazi No 19, Istanbul, Istanbul",4.1/5,4.6/5,3.7/5,4.0/5,80+,4.3/5 guest room rating,215 sq ft,9.0,$70
Ayasoluk Hotel,4.9/5,200 reviews,"Ataturk Mah. 1051. Sok No 12, Selcuk, Izmir",4.9/5,4.9/5,4.8/5,4.9/5,113+,4.9/5 guest room rating,215 sq ft,13.0,$89
Nowy Efendi Hotel - Special Class,4.4/5,301 reviews,"Alemdar Mah. Hoca Rustem Mektebi Sok., No:9-11 Istanbul Fatih, Istanbul, Istanbul",4.6/5,4.6/5,4.3/5,4.4/5,83+,4.8/5 guest room rating,161 sq ft,9.0,$45
Aristocrat Hotel,4.2/5,402 reviews,"Cankurtaran Mah.Dalbasti Sok No:11, Istanbul Fatih, Istanbul, Istanbul",4.3/5,4.4/5,4.0/5,4.2/5,45+,4.5/5 guest room rating,193 sq ft,4.0,$33
Sultans Royal Hotel,4.5/5,434 reviews,"Kucuk Ayasofya mh. Mustafa Pasa sk.No29, Istanbul, Istanbul",4.6/5,4.7/5,4.4/5,4.4/5,68+,4.5/5 guest room rating,183 sq ft,9.0,$42
Doruk Palas Hotel,4.8/5,240 reviews,"Emekyemez Mahallesi, Nazli Hanim Sk. No:19, Galata, Istanbul, Istanbul",4.9/5,4.9/5,4.7/5,4.8/5,36+,5/5 guest room rating,194 sq ft,4.0,$40
Alzer Hotel - Special Class,4.1/5,824 reviews,"At Meydani No 20, Sultanhmet, Istanbul, Istanbul",4.3/5,4.3/5,4.0/5,3.9/5,30+,3.9/5 guest room rating,269 sq ft,10.0,$59
Azka Hotel,4.0/5,421 reviews,"Bardakci Koyu, Mugla, Mugla",4.3/5,3.9/5,4.1/5,4.1/5,169+,3.8/5 guest room rating,237 sq ft,13.0,$59
Hotel Sultan Hill,,171 reviews,"Istanbul Mah., Tavukhane Sok., No 15, Istanbul, Fatih, Istanbul, Istanbul",4.5/5,4.6/5,4.0/5,4.3/5,35+,5/5 guest room rating,158 sq ft,8.0,$41
Swandor Hotels & Resort Topkapi Palace - All Inclusive,4.0/5,174 reviews,"Kundu Aksu, Lara, Antalya, Antalya",4.1/5,3.9/5,4.6/5,4.0/5,112+,4.4/5 guest room rating,366 sq ft,19.0,$181
Boutique Saint Sophia,4.7/5,565 reviews,"Alemdar Cad. 2, Istanbul, Istanbul, Istanbul",4.7/5,4.8/5,4.6/5,4.6/5,68+,4.6/5 guest room rating,183 sq ft,11.0,$95
PRIMERO HOTEL,4.6/5,338 reviews,"Pertev Pasa Sokak, Istanbul, Istanbul",4.7/5,4.8/5,4.3/5,4.6/5,63+,4.9/5 guest room rating,183 sq ft,8.0,$32
Ela Quality Resort Belek - All Inclusive,4.5/5,79 reviews,"Iskele Mevkii, Belek, Antalya",4.6/5,4.4/5,4.3/5,4.5/5,204+,4.6/5 guest room rating,387 sq ft,22.0,$243
Key Hotel - Boutique Class,4.8/5,307 reviews,"Mimar Kemalettin Cad. No:1 Konak, Izmir, Izmir",4.8/5,4.8/5,4.8/5,4.8/5,35+,4.7/5 guest room rating,280 sq ft,12.0,$129
ibis Izmir Alsancak,4.3/5,568 reviews,"Ataturk Caddesi 404-410, Konak, Izmir, Izmir",4.4/5,4.2/5,4.1/5,4.3/5,26+,4.7/5 guest room rating,183 sq ft,8.0,$38
"The Ritz-Carlton, Istanbul",4.6/5,342 reviews,"Suzer Plaza, Askerocagi Caddesi, No:6, Elmadag/Sisli, Istanbul",4.8/5,4.7/5,4.7/5,4.6/5,98+,5/5 guest room rating,409 sq ft,15.0,$206
Régie Ottoman Istanbul,4.7/5,224 reviews,"Hobyar Mah. Mimar Vedat Sok., No 5 Sirkeci, Istanbul-Old City, Istanbul, Istanbul",4.8/5,4.7/5,4.5/5,4.8/5,45+,3.9/5 guest room rating,215 sq ft,10.0,$68
Hampton by Hilton Istanbul Kayasehir,4.0/5,273 reviews,"Kayabasi Mah. Sehit Mustafa, Bozoklu Cad. No:5/1, Basaksehir, Istanbul",4.1/5,4.0/5,3.9/5,4.0/5,30+,4.7/5 guest room rating,247 sq ft,11.0,$48
"Hagia Sofia Mansions Istanbul, Curio Collection by Hilton",4.7/5,84 reviews,"Kabasakal Cad. No:5 Istanbul, Fatih, Istanbul",4.9/5,4.6/5,4.7/5,4.8/5,114+,5/5 guest room rating,431 sq ft,10.0,$137
Hotel Perula,4.3/5,209 reviews,"Binbirdirek mah. Peykhane Sok. no:45, Istanbul, Istanbul, Istanbul",4.4/5,4.4/5,4.1/5,4.2/5,55+,4.5/5 guest room rating,161 sq ft,10.0,$46
La Farine Hotel,4.3/5,36 reviews,"Karagözler Mah. Fevzi Çakmak Cad., No 33 A, Mugla",4.7/5,4.4/5,4.7/5,4.5/5,35+,5/5 guest room rating,215 sq ft,9.0,$69
"Bh Conference & Airport Hotel, Istanbul",3.6/5,922 reviews,"E-5 Karayolu (yanyol) No: 20, Sefakoy Kavsagi - K. Cekmece, Istanbul, Istanbul",3.9/5,3.7/5,3.4/5,3.6/5,54+,,301 sq ft,18.0,$46
Seven Hills Palace & Spa,4.7/5,37 reviews,"Istanbul Mahallesi Kadi Cikmazi Sok., No 11 1 Fatih, Istanbul",4.8/5,4.9/5,4.4/5,4.7/5,125+,4.5/5 guest room rating,237 sq ft,15.0,$127
Adana Hilton SA,4.4/5,466 reviews,"Sinanpasa Mah Haci Sabanci Bul No:1, Yuregir, Adana, Adana",4.5/5,4.4/5,4.1/5,4.4/5,77+,4.6/5 guest room rating,344 sq ft,12.0,$73
ibis Adana,4.2/5,811 reviews,"Cinarli Mah. Turhan Cemal, Beriker Bulvari No:49, Adana, Adana",4.3/5,4.1/5,4.2/5,4.2/5,27+,4.3/5 guest room rating,183 sq ft,11.0,$28
Seraglio Hotel & Suites,4.7/5,226 reviews,"Cankurtaran Mh. Amiral Tafdil Sk No: 32, Istanbul, Istanbul, Istanbul",4.8/5,4.8/5,4.4/5,4.6/5,98+,4.9/5 guest room rating,172 sq ft,8.0,$52
The Magnaura Palace Hotel,4.6/5,174 reviews,"Istanbul Mah. Dalbasti Sok., No13/1 Istanbul, Istanbul",4.8/5,4.8/5,4.4/5,4.5/5,52+,4.9/5 guest room rating,194 sq ft,9.0,$55
Erguvan Hotel - Special Class,4.4/5,971 reviews,"Aksakal cad. 3, Istanbul, Istanbul, Istanbul",4.4/5,4.6/5,4.2/5,4.2/5,53+,4.7/5 guest room rating,215 sq ft,9.0,$49
YOTELAIR Istanbul Airport AIRSIDE,4.2/5,249 reviews,"Tayakadin Mah. Terminal Cad. No.1, Arnavutkoy, Arnavutkoy, Istanbul",4.5/5,4.3/5,4.2/5,4.4/5,31+,4.7/5 guest room rating,140 sq ft,4.0,$176
Sura Hagia Sophia Hotel,4.0/5,997 reviews,"Divanyolu Cd. Alemdar Mah., Ticarethane Sk. No 10 Istanbul, Istanbul, Istanbul",4.0/5,4.1/5,3.8/5,3.9/5,72+,3.7/5 guest room rating,215 sq ft,15.0,$86
Swissotel Buyuk Efes Izmir,4.6/5,998 reviews,"Gaziosmanpasa Bulvari No 1, Izmir, Izmir",4.7/5,4.6/5,4.7/5,4.6/5,104+,4.9/5 guest room rating,291 sq ft,17.0,$95
The Marmara Pera,4.0/5,996 reviews,"Mesrutiyet Cad. Tepebasi, Istanbul, Istanbul",4.1/5,4.1/5,4.0/5,3.9/5,45+,4.1/5 guest room rating,248 sq ft,16.0,$76
Hotel Fehmi Bey - Special Class,4.2/5,309 reviews,"Binbirdirek Mah. Ucler Sok. No.15, Istanbul, Istanbul",4.3/5,4.3/5,4.1/5,3.9/5,96+,4.2/5 guest room rating,269 sq ft,9.0,$35
Fer Hotel,4.7/5,171 reviews,"Molla Fenari St, Türbedar St. No 12, Nuruosmaniye / Istanbul, Istanbul",4.8/5,4.8/5,4.5/5,4.8/5,88+,5/5 guest room rating,247 sq ft,11.0,$102
DoubleTree by Hilton Hotel Izmir Airport,4.4/5,454 reviews,"Fatih Mh. Ege Cad. N:4A, Gaziemir, Izmir",4.6/5,4.4/5,4.3/5,4.5/5,157+,4.7/5 guest room rating,269 sq ft,15.0,$44
Kordon Hotel Pasaport,4.0/5,162 reviews,"Akdeniz Caddesi No: 2 - Pasaport, Izmir, Izmir",4.1/5,4.0/5,4.0/5,3.9/5,22+,4.5/5 guest room rating,377 sq ft,9.0,$65
Hotel Alilass,4.5/5,370 reviews,"Cankuratan Mah. Akbyk, Cad. Bayramfrn Sok. No 9, Istanbul, Istanbul",4.7/5,4.8/5,4.4/5,4.5/5,46+,4.8/5 guest room rating,140 sq ft,7.0,$41
Esans Hotel - Special Class,4.6/5,229 reviews,"Yenisarachane sk No:4, Fatih, Istanbul, Istanbul",4.7/5,4.8/5,4.5/5,4.5/5,83+,4.7/5 guest room rating,151 sq ft,9.0,$29
Doubletree By Hilton Kusadasi - Special Class,4.3/5,594 reviews,"Yat Limani Mevkii, Kusadasi, Aydin",4.4/5,4.3/5,4.0/5,4.3/5,45+,4.5/5 guest room rating,301 sq ft,13.0,$48
Izmir Palas Otel,4.3/5,363 reviews,"Kültür Mahallesi, Vasif Çinar Blv No 2, Konak, Izmir",4.3/5,4.3/5,3.9/5,4.2/5,102+,4.2/5 guest room rating,269 sq ft,10.0,$50
Svalinn Hotel,4.5/5,191 reviews,"Akçay Cad. No:172, Gaziemir, Izmir",4.7/5,4.5/5,4.6/5,4.6/5,67+,4.9/5 guest room rating,484 sq ft,16.0,$53
Istanbul Airport Durusu Club Hotel,3.7/5,237 reviews,"Boyalik Mahallesi, Durusu Park, Arnavutkoy, Istanbul",3.7/5,3.8/5,3.7/5,3.5/5,63+,,269 sq ft,,$47
The House Hotel Karakoy,4.7/5,974 reviews,"Emek yemez mh. Bankalar cd. No 5, Istanbul, Istanbul",4.7/5,4.7/5,4.4/5,4.6/5,68+,4.6/5 guest room rating,215 sq ft,14.0,$107
Armada Istanbul Old City Hotel,4.4/5,885 reviews,"Ahirkapi Sok. No: 24, Istanbul, Istanbul, Istanbul",4.6/5,4.5/5,4.1/5,4.3/5,24+,4.3/5 guest room rating,215 sq ft,12.0,$55
Akra Hotel,4.6/5,"1,617 reviews","Lara Yolu, Antalya, Antalya",4.7/5,4.5/5,4.6/5,4.7/5,118+,4.7/5 guest room rating,279 sq ft,19.0,$122
Renaissance Izmir Hotel,4.6/5,698 reviews,"Akdeniz Mah Gaziosmanpasa Bulvari No 16, Izmir, Izmir",4.7/5,4.7/5,4.6/5,4.7/5,83+,4.8/5 guest room rating,344 sq ft,15.0,$76
Agora Life Hotel,4.3/5,345 reviews,"Cagaloglu Hamam Sokak No.6, Istanbul, Istanbul, Istanbul",4.5/5,4.7/5,4.4/5,4.2/5,78+,4.6/5 guest room rating,215 sq ft,9.0,$66
Sidonya Hotel,3.9/5,147 reviews,"Rihtim Caddesi Nemlizade Sokak No.34, Kadikoy, Istanbul, Istanbul",4.0/5,4.0/5,3.6/5,3.7/5,48+,4/5 guest room rating,172 sq ft,15.0,$50
Valide Sultan Konagi,4.5/5,445 reviews,"Cankurtaran Mah. Kutlugun Sok. No/1, Istanbul, Istanbul, Istanbul",4.6/5,4.6/5,4.2/5,4.4/5,44+,4.4/5 guest room rating,215 sq ft,11.0,$64
Pera Palace Hotel,4.7/5,889 reviews,"Mesrutiyet Cad. No. 52, Tepebasi Istanbul, Istanbul, Istanbul",4.7/5,4.7/5,4.4/5,4.7/5,100+,4.6/5 guest room rating,323 sq ft,15.0,$137
Hampton by Hilton Istanbul Kurtkoy,4.3/5,291 reviews,"Yeni Sehir Mh. Millet Caddesi 27, MVK Work Square B, Block 3, Pendik, Istanbul",4.6/5,4.3/5,4.2/5,4.4/5,28+,5/5 guest room rating,231 sq ft,11.0,$69
Calista Luxury Resort - All Inclusive,4.5/5,156 reviews,"Tasliburun Mevkii 19805, Belek, Antalya",4.6/5,4.6/5,4.7/5,4.6/5,295+,,452 sq ft,,$346
Hotel 1207 Special Class,4.4/5,154 reviews,"Kaleiçi Barbaros Mah. Atatürk, Bul. Koacatepe sk. No:13, Antalya",4.5/5,4.5/5,4.2/5,4.4/5,130+,4.5/5 guest room rating,107 sq ft,9.0,$49
Hotel Uyan - Special Class,4.2/5,996 reviews,"Utangac Sokak No: 25, Istanbul, Istanbul, Istanbul",4.3/5,4.2/5,3.8/5,4.1/5,56+,4/5 guest room rating,172 sq ft,9.0,$56
Fairmont Quasar Istanbul,4.6/5,184 reviews,"Buyukdere Caddesi, 76, Mecidiyekoy, Istanbul",4.7/5,4.6/5,4.6/5,4.7/5,73+,4.5/5 guest room rating,431 sq ft,18.0,$144
DoubleTree by Hilton Mugla Marina Vista,4.4/5,323 reviews,"Neyzen Tevfik Cad No 168, Mugla, Mugla",4.5/5,4.4/5,4.3/5,4.4/5,68+,4/5 guest room rating,237 sq ft,14.0,$89
Senatus Hotel - Special Class,4.5/5,557 reviews,"Akbiyik Caddesi No: 40, Istanbul, Istanbul, Istanbul",4.6/5,4.7/5,4.2/5,4.4/5,64+,4.5/5 guest room rating,141 sq ft,9.0,$43
Holiday Inn Antalya - Lara,4.2/5,281 reviews,"Lara Guzeloba 2290, Sk Antalya, Antalya",4.4/5,4.3/5,4.5/5,4.3/5,86+,4.7/5 guest room rating,205 sq ft,14.0,$31
Rixos Pera Istanbul,4.4/5,853 reviews,"Kamerhatun Mah.Mesrutiyet Cad.No 44, Tepebasi Taksim, Istanbul, Istanbul",4.6/5,4.5/5,4.1/5,4.4/5,52+,4.4/5 guest room rating,301 sq ft,11.0,$108
Marti Resort Hotel,3.6/5,199 reviews,"Kumluorencik Mevkii, Icmeler, Marmaris, Mugla",3.5/5,3.4/5,2.9/5,3.5/5,89+,4/5 guest room rating,355 sq ft,16.0,$113
Four Points by Sheraton Izmir,4.4/5,413 reviews,"Cinaralti Avenue, Ankara Asfalti Street, No: 17-A Konak, Izmir",4.5/5,4.4/5,4.2/5,4.4/5,51+,4.8/5 guest room rating,291 sq ft,11.0,$61
Recital Hotel,4.4/5,804 reviews,"Binbirdirek Mah., Piyerloti Caddesi 21, Istanbul, Istanbul",4.5/5,4.5/5,4.3/5,4.3/5,54+,4.7/5 guest room rating,182 sq ft,10.0,$57
Hotel Ibrahim Pasha,4.7/5,222 reviews,"Terzihane Sok 7, Istanbul, Istanbul, Istanbul",4.8/5,4.9/5,4.6/5,4.6/5,50+,4.6/5 guest room rating,161 sq ft,8.0,$102
Hotel Su & Aqualand,4.0/5,"1,000 reviews","Meltem Mah., Dumlupinar Bulvar No:205, Antalya, Antalya",3.9/5,4.0/5,4.1/5,3.8/5,60+,4/5 guest room rating,280 sq ft,20.0,$94
"Radisson Blu Resort & Spa, Cesme",3.8/5,666 reviews,"Altinyunus mah 3435 Sok No. 25, Cesme, Izmir",4.1/5,3.9/5,3.9/5,3.8/5,269+,4.3/5 guest room rating,258 sq ft,18.0,$68
Erten Konak - Special Class,3.9/5,768 reviews,"Akbiyik Caddesi, Akbiyik Degirmeni Sokak 8/10, Istanbul, Istanbul",3.9/5,4.2/5,3.6/5,3.8/5,39+,3.8/5 guest room rating,86 sq ft,12.0,$29
Golden Royal Cemberlitas,4.6/5,239 reviews,"binbirdirek mh.peykhane sk no 19, cemberlitas, Istanbul",4.6/5,4.7/5,4.5/5,4.6/5,55+,4.5/5 guest room rating,172 sq ft,8.0,$110
Park Inn by Radisson Izmir,4.3/5,827 reviews,"Cumhuriyet Bulvari No 124 Konak, Izmir",4.5/5,4.3/5,4.1/5,4.4/5,125+,4.5/5 guest room rating,236 sq ft,13.0,$54
Radisson President Beyazit Istanbul,4.3/5,988 reviews,"Tiyatro Caddesi, No. 25, Beyazit, Istanbul, Istanbul",4.4/5,4.4/5,4.0/5,4.2/5,218+,5/5 guest room rating,269 sq ft,16.0,$92
Hyatt Regency Istanbul Ataköy,4.1/5,556 reviews,"Atakoy 2-5-6, Kisim, Rauf Orbay Caddesi Sahil Yolu No 2/1, Istanbul, Istanbul",4.3/5,4.1/5,4.1/5,4.3/5,108+,4.5/5 guest room rating,377 sq ft,15.0,$123
Turkuaz Suites,4.3/5,88 reviews,"Süleyman Seba Cad. Refik Osman Top Sok., Istanbul, Istanbul",4.5/5,4.6/5,4.1/5,4.4/5,45+,5/5 guest room rating,484 sq ft,12.0,$67
Sultan Tughra Hotel,4.1/5,332 reviews,"Istanbul Mah Keresteci Hakki Sok, No:17, Istanbul, Istanbul",4.4/5,4.5/5,3.7/5,4.2/5,94+,3.8/5 guest room rating,142 sq ft,10.0,$40
Azade Hotel,4.1/5,379 reviews,"Mimar Mehmet Aga Caddesi No.17/19, Istanbul, Istanbul",4.2/5,4.2/5,4.1/5,3.9/5,30+,4.3/5 guest room rating,215 sq ft,8.0,$48
Sheraton Grand Istanbul Atasehir,4.5/5,167 reviews,"Barbaros Mah, Mor Sumbul Sok, No:1, Atasehir, Istanbul",4.6/5,4.5/5,4.2/5,4.6/5,152+,5/5 guest room rating,291 sq ft,17.0,$98
Hotel Sari Konak,4.4/5,626 reviews,"Mimar Mehmet Aga Cad No: 26, Istanbul, Istanbul, Istanbul",4.6/5,4.6/5,4.2/5,4.3/5,49+,5/5 guest room rating,193 sq ft,8.0,$46
Muyan Suites,4.5/5,354 reviews,"Binbirdirek Mah, Dizdariye Medresesi, Sok No: 13, Istanbul, Istanbul, Istanbul",4.6/5,4.8/5,4.3/5,4.4/5,31+,4.3/5 guest room rating,344 sq ft,8.0,$45
Coordinat Suits,3.9/5,121 reviews,"351. Sokak no 3, Izmir",3.9/5,3.8/5,3.9/5,4.1/5,87+,5/5 guest room rating,323 sq ft,10.0,$36
Georges Hotel Galata,4.5/5,156 reviews,"Serdar-I Ekrem Sokak No:24, Galata - Istanbul, Istanbul, Istanbul",4.6/5,4.5/5,4.5/5,4.4/5,132+,4.6/5 guest room rating,301 sq ft,11.0,$151
"Radisson Blu Hotel & Spa, Istanbul Tuzla",4.5/5,890 reviews,"Camlibelde Sitesi Hasan Tokatli Sk., No:1 Aydinli, Tuzla, Istanbul",4.6/5,4.4/5,4.4/5,4.6/5,103+,4.6/5 guest room rating,377 sq ft,17.0,$94
Nearport Hotel Sabiha Gokcen Airport,4.3/5,159 reviews,"Yenisehir Mahallesi, Osmanli Bulvari, No:5/A, Pendik, Istanbul",4.5/5,4.2/5,4.1/5,4.3/5,35+,4.7/5 guest room rating,323 sq ft,13.0,$57
Kilim Otel Izmir,4.2/5,113 reviews,"Kazim Dirik Cad. No 1 Pasaport Alsancak, Izmir",4.2/5,4.2/5,3.9/5,4.0/5,25+,4.3/5 guest room rating,161 sq ft,11.0,$50
Swissotel The Bosphorus Istanbul,4.6/5,"1,002 reviews","Visnezade Mah. Acisu Sok. NO. 19, Macka Besiktas, Istanbul, Istanbul",4.7/5,4.6/5,4.7/5,4.6/5,225+,4.6/5 guest room rating,409 sq ft,18.0,$222
Pierre Loti Hotel - Special Class,4.0/5,849 reviews,"Piyerloti Cad. No: 1, Istanbul - Cemberlitas, Istanbul, Istanbul",4.2/5,4.2/5,4.1/5,4.0/5,68+,4/5 guest room rating,215 sq ft,10.0,$81
Park Inn By Radisson Istanbul Ataturk Airport,3.9/5,296 reviews,"Halkali Merkez Mah Fatih Caddesi No. 99, Istanbul, Istanbul",4.0/5,4.0/5,4.2/5,3.9/5,32+,4.1/5 guest room rating,215 sq ft,14.0,$46
Side Hotel,4.2/5,151 reviews,"Cankurtaran Mah Utangac Sok No 22, Istanbul Fatih, Istanbul",4.3/5,4.5/5,3.9/5,4.0/5,29+,4.4/5 guest room rating,151 sq ft,4.0,$37
